pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles,pieces_d1,pieces_d2,pieces_d3,pieces_d4,piece_count_pack,difficulty_rating_pack,w_pieces_diff_transformed,holdtime
Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2,456,548,0,0,1004,1,0.4765630162001372,2.939410904142848
DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,1,3,DaVici,DaVici,2,195,0,220,0,415,2,-0.5509379588904963,0.9988847760287384
DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,332,164,1,1,DaVici,DaVici,2,496,0,0,0,496,1,-1.3356646392590372,10.865031635948368
Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Liberty,Nautilus,2,0,707,0,0,707,2,0.30316478686653386,22.08397133176248
DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1,0,700,0,0,700,2,0.28493402377865096,5.077602712783403
Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,2,1,Artifact,Stave,2,203,65,0,0,268,1,-1.8307450156765015,0.6003234059324537
Artifact Puzzles Joe Vaux Garden Of Earthly Delights ,619,0,2,2,Artifact,Artifact,1,0,619,0,0,619,2,0.06425041722427771,1.1923039608618518
Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Annya Kai Fabric Owls,182,156,1,1,Artifact,Artifact,2,338,0,0,0,338,1,-1.8133173951233486,1.0779474489429282
Artifact Puzzles Iris Scott Tiger Fire Artifact Puzzles Rachel Pedder-Smith Abandoned Garden,306,296,3,2,Artifact,Artifact,2,0,296,306,0,602,2,0.4249513289062019,1.011096458587037
Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,228,216,1,1,Artifact,Artifact,2,444,0,0,0,444,1,-1.479536485511628,2.982212001121933
BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks,276,261,1,1,Artifact,Other-Hand-cut,2,537,0,0,0,537,1,-1.2293745861293544,2.8976969468424305
Stave Puzzles Hide n Seek Artifact Puzzles Valentin Rekunenko Swordfight,125,439,3,3,Artifact,Stave,2,0,0,564,0,564,3,0.6419669813473136,4.004032997827489
BCB Puzzles Teapot and Teacups Snowflake Puzzles Koganeibashi no sekishō,120,511,3,2,Other-Hand-cut,Other-Hand-cut,2,0,511,120,0,631,2,0.2613095603874931,11.957858893706504
Artifact Puzzles Roch Urbaniak Sage Of Yamatai Artifact Puzzles Angie Rees Boobie Trapped,346,340,2,2,Artifact,Artifact,2,0,686,0,0,686,2,0.24809343390539967,11.877476732733587
Wentworth Puzzles Claire Comerford Spring Garden Wentworth Puzzles Clair Rossiter Spring Market,500,500,1,1,Wentworth,Wentworth,2,1000,0,0,0,1000,1,-0.2992575406712612,1.9503811393015973
Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Kahlil Rintye Cosmic Dragon,518,504,2,3,Artifact,Artifact,2,0,518,504,0,1022,2,1.4898734380411809,11.050859184495105
Artifact Puzzles Monet Chrysanthemums Artifact Puzzles Nadieh Bremer Color Dream,262,403,3,2,Artifact,Artifact,2,0,403,262,0,665,2,0.5248326683448857,3.260742659902697
Liberty Puzzles Linnea Pergola Florence ,591,0,2,2,Liberty,Liberty,1,0,591,0,0,591,2,-0.016640095406966617,1.3840062613656596
DaVici Puzzles Millenium Tree ,1098,0,3,2,DaVici,DaVici,1,0,0,1098,0,1098,3,2.0799635109936836,3.024502772789873
Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,65,207,1,2,Artifact,Artifact,2,65,207,0,0,272,1,-1.3815090265863905,0.5578754832708334
Artifact Puzzles Karla Gerard Night Village Artifact Puzzles Karla Gerard Lively Landscape,164,221,1,1,Artifact,Artifact,2,385,0,0,0,385,1,-1.6575581574931109,0.3255405024140046
Artifact Puzzles Erin Hanson Crystal Grove Artifact Puzzles Matt Lyon Monastery,357,460,4,3,Artifact,Artifact,2,0,0,460,357,817,3,1.7075843821132473,6.944350469178183
Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,461,468,3,3,Artifact,Artifact,2,0,0,929,0,929,3,1.6905271469139744,8.833328729391864
Liberty Puzzles Linnea Pergola Portofino Italy Ecru Puzzles Allen Gilbert Cram Fishermans Cottage,630,158,2,2,Ecru,Liberty,2,0,788,0,0,788,2,0.5056258888555227,14.963668943765995
Wentworth Puzzles Claire McElfatrick Secret Garden Wentworth Puzzles Lucy Pittaway Strolling Home,500,500,2,2,Wentworth,Wentworth,2,0,1000,0,0,1000,2,0.9752504390137802,15.032158007073043
Artifact Puzzles Marie Amalia Pride Of Peacocks Artifact Puzzles DALL-E Animals In Motion,224,225,1,1,Artifact,Artifact,2,449,0,0,0,449,1,-1.4652150313712384,1.403782868586574
Nervous System Jonathan McCabe Radial Series #1559 Wongo Puzzles The Butterfly,80,206,1,2,Other-Laser-cut,Other-Laser-cut,2,80,206,0,0,286,1,-1.3463532818014319,1.405730339718426
Liberty Puzzles Linnea Pergola Barcelona ,673,0,2,2,Liberty,Liberty,1,0,673,0,0,673,2,0.2134190558457594,9.971341599676943
Wentworth Puzzles Richard Macneil Summer Hedgehogs ,1000,0,2,2,Wentworth,Wentworth,1,0,1000,0,0,1000,2,0.9752504390137802,7.832772395196655
Mr. Bob Puzzles Rebecca Cool Birds in a Tree Hartmaze Puzzles Hundred Birds Paying Homage to The Phoenix,525,253,1,2,Other-Laser-cut,Other-Laser-cut,2,525,253,0,0,778,1,-0.24875498219678724,1.9757058042269908
Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,61,150,1,4,Other-Hand-cut,Other-Hand-cut,2,61,0,0,150,211,2,-0.9385026089948613,10.029547098808322
DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,230,200,1,1,DaVici,DaVici,2,430,0,0,0,430,1,-1.5202349998007048,9.81554690913787
Liberty Puzzles Richard Dadd The Fairy Fellers Master Stroke ,480,0,3,2,Liberty,Liberty,1,0,0,480,0,480,3,0.3366956847638468,7.075281495074444
Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,224,258,1,3,Artifact,Artifact,2,224,0,258,0,482,2,-0.30255248640013027,6.971888597172106
DaVici Puzzles Sergey Adeev Winter is Just Around The Corner DaVici Puzzles Vladimir Zhdanov Lilac House,260,160,1,1,DaVici,DaVici,2,420,0,0,0,420,1,-1.5498659425638504,45.90313195367014
