name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,0,0,2
DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,0,220,0,2
DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,496,0,0,0,2
Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,0,707,0,0,2
DaVici Puzzles Diana Zimens City Of Cats ,0,700,0,0,1
Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,203,65,0,0,2
Artifact Puzzles Joe Vaux Garden Of Earthly Delights ,0,619,0,0,1
Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Annya Kai Fabric Owls,338,0,0,0,2
Artifact Puzzles Iris Scott Tiger Fire Artifact Puzzles Rachel Pedder-Smith Abandoned Garden,0,296,306,0,2
Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,444,0,0,0,2
BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks,537,0,0,0,2
Stave Puzzles Hide n Seek Artifact Puzzles Valentin Rekunenko Swordfight,0,0,564,0,2
BCB Puzzles Teapot and Teacups Snowflake Puzzles Koganeibashi no sekishō,0,511,120,0,2
Artifact Puzzles Roch Urbaniak Sage Of Yamatai Artifact Puzzles Angie Rees Boobie Trapped,0,686,0,0,2
Wentworth Puzzles Claire Comerford Spring Garden Wentworth Puzzles Clair Rossiter Spring Market,1000,0,0,0,2
Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Kahlil Rintye Cosmic Dragon,0,518,504,0,2
Artifact Puzzles Monet Chrysanthemums Artifact Puzzles Nadieh Bremer Color Dream,0,403,262,0,2
Liberty Puzzles Linnea Pergola Florence ,0,591,0,0,1
DaVici Puzzles Millenium Tree ,0,0,1098,0,1
Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,65,207,0,0,2
Artifact Puzzles Karla Gerard Night Village Artifact Puzzles Karla Gerard Lively Landscape,385,0,0,0,2
Artifact Puzzles Erin Hanson Crystal Grove Artifact Puzzles Matt Lyon Monastery,0,0,460,357,2
Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,0,0,929,0,2
